name,text,party,gender,speech_id
Lord Lisvane,"My Lords, I am grateful to the Minister for her lengthy and very detailed reply. I am also grateful to noble Lords who have taken part in the debate and expressed supportive views. Particularly telling were the twin points made by the noble Lord, Lord Pannick. The first was about the availability of the corpus of legislation and clarity and certainty on that point. His subsequent point, made in an intervention, was about the risks of challenge in the courts. The Government would clearly wish to avoid that. The noble Viscount, Lord Hailsham, made the helpful point that an enhanced process would allow it to be judged whether Ministers had got it wrong and for that judgment to be made in time.The Minister answered the issue very much in terms of administrative practicality—pragmatism, if you will. She quoted some precedents—we have traded precedents on successive days in Committee, and some have been good and some have been less so. But an army of embryo precedents—if such a concept can be allowed—is about to march towards your Lordships’ House from the other end of the building in the form of the Taxation (Cross-border Trade) Bill, which I referenced in moving the amendment. I think we need to be very cautious about rather distant precedents contained, for example, in the Energy Act.As I say, the noble Baroness answered very much in terms of administrative convenience, practicality and so on. She talked about the volume of the regulations. I do not think that a sensible solution is beyond the wit of man and woman to devise in this case. Could there not be a cumulative list of ministerial decisions on items of legislation that have been identified as falling within this provision on the DExEU website, so that everybody knows what is coming, which could be wrapped up in one SI every month or every six weeks? That would seem to me to reduce the burden.The Minister was very kind to be concerned about the burden on the Queen’s printer and the National Archives. However, I am sure that, given their experience and resources, that is a burden which they are well capable of carrying.Powerful as the Minister’s reply was on these administrative matters, I do not think that the volume of legislation—or transactions, if you will—is enough to outweigh the issue of principle that lies behind this. I know the noble Baroness will forgive me for this image, but when she touched, fairly briefly, on the issue of principle, I seemed to hear the desperate scrabbling of fingers on a rather treacherous cliff edge. She was much more certain on the issues of administrative feasibility.The Minister did make one prediction with which I completely agree: this is an issue which is bound to arise once again at Report. On that basis, I beg leave to withdraw the amendment.Amendment 355 withdrawn.Amendment 355ZZA not moved.Debate on whether Schedule 5 should be agreed.",(CB),male,39
Baroness McIntosh of Pickering,"My Lords, I am most grateful for this opportunity to probe the contents of Schedule 5 and debate whether it should be agreed. We have been told throughout the Committee proceedings that this is a technical Bill making arrangements to transpose existing EU law instruments such as regulations, decisions and Court of Justice case law which already exist on exit day into UK law. The two debates we have had today demonstrate the point that I would like to make: we have never embarked on an exercise of this scale and I do not think the Government are aware as yet what the scale of the exercise is.I begin with one quick question. Paragraph 1(1) of Schedule 5 says that the Queen’s printer “must” make arrangements for the publication of each relevant instrument and so on. Yet under sub-paragraphs (3) and (4) of paragraph 1 we are told that the Queen’s printer “may” make arrangements. I wonder why there is a difference there. Under sub-paragraphs (3) and (4), who will exercise that discretion? For the purposes of this Bill, what are the instruments, how many are they and where are they?With a number of other noble Lords, I was fortunate to have a meeting with my noble and learned friend Lord Keen, where I asked where these instruments could be found. I hope the Minister will be able to confirm that. It is rather surprising to learn that there is no central depository for such instruments in this country at this time. We are referred to websites to see what the range of instruments is. The first website is that of the Queen’s printer—the National Archives—and we see a blank screen. We have first to search through all the legislation; we have to have the title of the legislation, the year in which it was agreed and its number. We also have to know the type of the legislation and go through various categories. The only specific reference to EU legislation that I could see in the short research that I did was in respect of UK statutory instruments.The second website to which we are referred is EUR-Lex, which is a widely used European legal search engine and the EU’s legal database. There again, you are faced with a screen in which you need to type in the document number, the year it was adopted, the type of instrument—regulation, directive, decision, European court case—and the body which issued it. That is what you have to enter before you can do any further search.On the scale of the exercise, it is very clear from the Explanatory Notes that we do not know how many instruments there are—our preceding debates today have magnified that. We are told in the Explanatory Notes that, while there is no single figure for how much EU law already forms part of domestic law and how much will therefore be converted by this Bill, according to EUR-Lex, the EU’s legal database, there are currently more than 12,000 regulations which it defines as directly effective EU laws and more than 6,000 EU directives which will have been transposed and enforced across the EU. Additional research from the House of Commons Library indicates that in addition to that—I assume that it is in addition—around 7,900 statutory instruments have been made in the UK which have been implemented as EU legislation. There are a further 1,302 primary UK Acts of Parliament between 1980 and 2009, excluding those which have later been repealed, with 186 Acts in addition exhibiting a degree of EU influence, which means that they are UK law emanating from EU law.If I was back in practice, as the noble Lord, Lord Pannick, and a number of other noble and noble and learned Lords are, and I wished to advise a client for the purposes of this Bill which instrument or decision is to be transposed, my understanding is that we simply would not know. Tomorrow, it will be only one year until we formally leave the European Union. I am sure that my noble friend the Minister will agree that this is a massive exercise. I want to put two simple questions to her. First, are we right to conclude that there is no centrally depository or archive for such instruments at this stage in this country, but that the information is held in the archives in Brussels? Secondly, can the Government put a figure on the number of decisions and other such instruments to be transposed for the purposes of this Bill into UK law as part of this exercise?",(Con),female,40
Baroness Goldie,"My Lords, I thank my noble friend Lady McIntosh for her comments. In response, I will need to be fairly brief. Clause 13 gives effect to Schedule 5, which is a technical but important part of the Bill. Quite simply, Schedule 5 seeks both to ensure that our law is sufficiently accessible after exit day and to provide for rules of evidence replacing those currently in the European Communities Act. I acknowledge my noble friend’s intention to oppose that Schedule 5 stand part of the Bill and will try to persuade her otherwise.Paragraph 1 of Schedule 5 requires the publication of relevant instruments defined in the schedule as those that may form part of retained direct EU legislation and the key treaties likely to be of most relevance to, or to give rise to directly effective rights et cetera forming part of, retained EU law under Clause 4. My noble friend will understand that, after a period of more than 45 years of membership of the EU, a huge body of law has developed. Without wanting to seem patronising, that is exactly why this Bill before us is so vitally important. We want to make sure that all the protections, rights and benefits that our citizens in the UK have enjoyed under that huge body of law will flow seamlessly on exit day into our UK domestic law.On the specific question that my noble friend asked about whether there was any central archive, I am not aware of any specific central archive, but I shall certainly have officials look at that and I shall undertake to write to my noble friend.",(Con),female,41
Lord Foulkes of Cumnock,"Could the Minister also deal with the question of Scotland? As I understand it, the Queen’s printer applies only for England, Wales and Northern Ireland. There is a separate Queen’s printer for Scotland, under Section 92 of the Scotland Act 1998, who is responsible for Acts of Parliament for Scotland. Does not that create some problems in relation to the drafting of Schedule 5?",(Lab),male,42
Baroness Goldie,"I do not have a response to that specific point, but I shall certainly undertake to write to the noble Lord and provide more detail.I revert to my noble friend Lady McIntosh, who I think sought a figure for the number of instruments or individual components of law. I am unable to provide that; I do not think that such a figure exists. Obviously, a lot of work has been done across departments to ascertain what is likely to affect the activities within departments and what is likely to become part of retained EU law post exit day. Again, I shall double-check that and, if there is any more information that I can give in that connection, I shall do so.The remaining provisions of paragraph 1 provide for the power to publish other documents, such as decisions of the Court of Justice of the European Union or anything else that the Queen’s printer considers useful in relation to those things. It also ensures that, in accordance with the snapshot, anything repealed before exit day, or modified on or after exit day, does not have to be published. This is supported by the targeted and what I have already described as common-sense power in paragraph 2 to enable Ministers to narrow the task of the Queen’s printer by ensuring that instruments that are not retained EU law do not have to be published. We have had an interesting debate on that and I have given certain undertakings to look at the contributions from Members.",(Con),female,43
Lord Foulkes of Cumnock,"I have another query. We are all talking about the Queen’s printer. As I have said, that is the Queen’s printer applying for England, Wales and Northern Ireland. Can the Minister tell us who the Queen’s printer is? As I understand it, the Queen’s printer has responsibility—and it is a good job that we have two Bishops here—for printing the Bible, I think in the King James version. I have just had a nod from a Bishop, which is very exciting. I think that the Queen’s printer may currently be Cambridge University Press, but I may be wrong on that. Everyone including the Minister is talking about the Queen’s printer, but hands up who knows who it is? There are not even hands up in the Box. I know that the Minister is the fount of all knowledge, so who is the Queen’s printer?",(Lab),male,44
Baroness Goldie,"I can always rely on the noble Lord to lighten the proceedings and introduce an element of light relief. I do not imagine that the Queen’s printer is some inky-fingered individual stabbing away in a dark basement. If the Queen’s printer is as busy as the noble Lord implies, the less we give them to do, the better. That is why I think that the direction to exclude things from the Queen’s printer would be very timely. I shall of course find out more information for the noble Lord.",(Con),female,45
Lord Lisvane,"I wonder if I could, as they say, be helpful. I think that the Queen’s printer is the Keeper of the National Archives, who also holds the title “Queen’s Printer”.",(CB),male,46
Baroness Goldie,"I am grateful to the noble Lord, Lord Lisvane. As the late FE Smith, said, I am no wiser but I am certainly better informed.",(Con),female,47
Lord Adonis,"I suggest that the noble Lord, Lord Lisvane, becomes the Queen’s printer, because he is far more knowledgeable about these matters than anyone else in the country.",(Lab),male,48
Baroness Goldie,"I do not wish in any way to diminish the talents of the Queen’s printer, whoever that person or group of persons is or wherever they dwell, but I think that the noble Lord belongs in this Chamber making the powerful and important contributions that he does.",(Con),female,49
Lord Foulkes of Cumnock,"The noble Lord, Lord Lisvane, has been helpful to an extent by saying that the Queen’s printer is the Keeper of the National Archives. However, that raises the question: who is the Keeper of the National Archives?",(Lab),male,50
Lord Cormack,His name is Mr Jeff James.,(Con),male,51
Baroness Goldie,Then I offer a heartfelt tribute to Mr Jeff James.,(Con),female,52
Lord Lisvane,"If it assists the noble Lord, Lord Foulkes of Cumnock, he is also the Queen’s printer for Scotland.",(CB),male,53
Lord Beith,"I recommend that the Minister and other Ministers pay a visit to Kew, which is a very nice place, and have a look at the small but diligent unit that tries to maintain an accurate record and account of what the law of this country is.",(LD),male,54
Baroness Goldie,"My Lords, if we do not get through this debate, I will not be visiting anywhere. I must thank a group of your Lordships for their fascinating contributions, some of which have eliminated my need to write to anyone about anything. Still, I shall look at Hansard.In the view of the Government, the mixture of defined duties and specific powers provided for in part 1 of Schedule 5 strikes the right balance. I say to my noble friend Lady McIntosh that it is comprehensive, flexible and accountable.Part 2 of Schedule 5 ensures that after exit day questions about the meaning or effect of EU law can continue to be treated as questions of law and so can be determined by our courts when determining that such a question is necessary in order to interpret retained EU law. As I said earlier, it also contains a power, subject to the affirmative procedure, to make provision about judicial notice and the admissibility of evidence of certain matters.I hope that my remarks have provided sufficient explanation of the rationale behind, and indeed the importance of, Clause 13 and Schedule 5 and why it is imperative that that clause and schedule stand part of the Bill.",(Con),female,55
Baroness McIntosh of Pickering,"My Lords, this has been an entertaining and illuminating debate. I am grateful to those who have pressed the Minister for answers.I do not quite understand why there is a discretion in sub-paragraphs (3) and (4) of paragraph 1 of Schedule 5 for the Queen’s printer not to publish the instruments in question, because it would be difficult to find out what they are if they are not published. I look forward to hearing from the Minister how many there were in the last year—if we ever get a final answer. Could she also respond on the issue of why there is no discretion under sub-paragraph (1) when there is a discretion under sub-paragraphs (3) and (4)?The Minister has confirmed the scale of the exercise that we will all be involved in. It was not my intention that Schedule 5 should not be part of the Bill; it was purely my intention to explore the fact that there is no archive and we do not know how many instruments of this type there will be.Schedule 5 agreed.Clause 18 agreed.Clause 19: Commencement and short titleAmendments 355ZA and 355ZB not moved.Amendment 355AMoved by355A: Clause 19, page 15, line 18, at end insert “, subject to subsection (2A)”",(Con),female,56
Lord Wigley,"My Lords, in moving Amendment 355A, standing in my name, I shall speak to Amendment 357A. Both of these are paving amendments for the substantive Amendment 358A, also in my name, to which I shall address most of my remarks.The amendment goes to the core of the Brexit referendum in 2016 and relates to a campaigning issue which undoubtedly swung many voters to support the leave campaign. This is to do with the amount of extra funding which would, supposedly, be available as a result of the UK decision to leave the EU. The amendment also addresses the guarantees that were given to Wales—and to Scotland and other parts of the United Kingdom—that all the funding coming from the EU would be replaced by UK Treasury funding so that, in this context, Wales would not miss out.Amendment 358A proposes that this Act does not come into force until the UK Government have laid a report before Parliament, and the National Assembly for Wales, outlining how the money currently provided to Wales through the EU will be provided after Brexit. Such a statement in the Bill is needed in order to demonstrate to the electors of Wales that they were not led up the garden path in the referendum and that the Government do indeed intend to keep the promise, made by the leave campaign, that this level of funding will be maintained. I would be obliged if noble Lords will bear with me as I address those promises in greater detail.I start with the outrageous £350 million a week that was promised to be channelled into the NHS as money returning from Brussels. That was a central part of the Brexit deal, equivalent to a manifesto commitment in a general election. It is a pledge which the Government, in signing up to deliver the other parts of the Brexit manifesto, are duty-bound to honour. If they feel obliged to deliver Brexit on the basis of the referendum vote, they must do so on the basis on which that vote was secured. That commitment was as applicable to Wales as it was elsewhere and it no doubt had an impact in Wales where the public services devolved to the Assembly are funded by the notorious Barnett formula. The NHS in Wales, as elsewhere, desperately needs additional funding. Indeed, Conservative Ministers—including the present Prime Minister—have derided the Welsh Government for not providing as much money to the NHS as was being provided in England. For a time that was true, but this was partly because the overall cake was inadequate. If an increase in health funding in Wales was the same as that in England, other services such as education would have been even harder hit. It was partly because of a decision by the Welsh Government to redirect some of the funding increase to social services, for the justifiable purpose of enabling hospital patients to return home earlier, thereby reducing the pressure on hospital beds. Whichever way, there was and there is a pressing need for additional funding for healthcare in Wales.The vote to quit the EU was undoubtedly augmented, in part, by people swallowing the outrageous propaganda that £350 million a week would be coming to the health service. Even on the basis of the restrictive Barnett distribution, the NHS in Wales could therefore have expected something like £18 million a week more funding—£1 billion a year. That is a promise which was made and which the people of Wales expect to be fulfilled. My helpful amendment enables the Government to explain to the people of Wales how they intend to fulfil their pledge.That was not the only promise that was made concerning post-Brexit funding. It has not gone unnoticed in this Chamber that those areas that voted most heavily in favour of Brexit in Wales were the old industrial valleys—the very areas which benefited most from European strategic funds. Since west Wales and the valleys were accorded what was defined as objective 1 status by the EU back in 2000, those areas most in need of economic support—defined as having under 75% of the average GDP of the European Union—received direct funding from Europe, which will have amounted over two decades to almost £4 billion. Obviously, at the time of the campaign, voters in those areas demanded to know what would happen to such funding. The Brexit lying squad, as it is known, true to form said: “Yes, of course, that money would be funded by the UK Treasury” so that such impoverished areas would not lose out as a consequence of leaving the EU. That was part of the deal and, as far as those areas are concerned, a central part of it. They voted out, and now they expect that promise to be honoured, not in some general way but specifically in terms of total aggregate funding and its being distributed not at the whim of Treasury Ministers but on a needs-based formula, just as the European funds have been distributed. If the Minister will give a copper-bottomed guarantee to the House today that this will be done, perhaps it will not be necessary to press the amendment. I wait to hear what assurances, if any, the Minister can give.There is also the financial challenge facing rural Wales by the ending of the common agricultural policy, which will follow the implementation of the Bill. I well remember addressing several meetings organised by farming unions during the referendum. While the union leadership was committed to remain, individual farmers were being tempted to vote out, basing their case on the guarantees being given by the Brexit campaign that their funding was secure. It is now time to deliver. If farmers do not get a fair deal, they will be very angry indeed, as farmers certainly can be. The CAP currently pays some £270 million per annum to Wales, which amounts to about 9% of the figure coming to the UK from the CAP. That is about twice the per capita level because of the importance of agriculture to Wales. Will that sum be replaced in full by the Treasury in London? Can the Minister give a commitment that is not just a short-term fix for two or three years after Brexit but an ongoing pledge for the future, with no sunset clause to undermine the confidence of our farmers, since agricultural investment is a long-term commitment? If the money is distributed on a UK level, can he give an assurance that it will not be on a Barnett basis but on a needs basis or an inflation-proofed CAP existing provision basis?In 2016, we were told by the Brexit campaigners that there were other European funds which would be equally safeguarded. Prime among these was the western seaboard counties of Wales having access to the Interreg funding, secured for Wales by the Conservative Government at the time of the Maastricht Treaty. It has helped to finance projects of benefit to the western seaboard of Wales and the corresponding eastern seaboard of Ireland. It has funded numerous small-scale projects in transport, environment, culture, and has made a valuable contribution to those areas. Several million pounds have been paid out by Brussels to Wales for Interreg support. Once again, at the time of the referendum, promises were made liberally around Wales that the areas benefitting from Interreg funding would be secure and that equivalent funds would be paid out by the Treasury to Wales and, no doubt, to other Interreg-qualifying areas.That is the background to my amendments. They give the Committee the opportunity to write into the Bill statutory assurances that these EU sources of funding will be maintained. They should be guaranteed for the next 12 years, equivalent to two further rounds of European funding and as a pro rata equivalent to the funding which emanated from Brussels over the past decade. The element of this funding which replaces EU structural funds should be reviewed 10 years after Brexit and reassessed on the basis of whether the equivalent GDP per head in the designated beneficiary areas has reached 90% of the UK average figure. If not, the funding should be extended.I make one final point, which I am bound to make in this context as I have before. We are frequently told that funds repatriated from Brussels should be administered on a UK-wide basis to ensure that equity is secured for every part of Britain. I understand that argument, but I am afraid that bitter experience has taught me that Wales just cannot trust the Treasury in London when it comes to safeguarding our economic and financial well-being. It pains me to say this, as I realise how much apoplexy it may cause some noble Lords opposite, but the truth is that we have been able to trust EU Commission officials in Brussels better than we can trust the Treasury in Whitehall. I mentioned this at Second Reading, but let me briefly explain again.In 2000—the first year of our National Assembly’s existence, when I was leader of the opposition there, and the first year of the European objective 1 funding for Wales—the Assembly expected to receive from Brussels several hundred million pounds to finance EU projects. The money that Brussels sent for the benefit of Wales was dispatched via the UK Treasury and, surprise, surprise, it did not come through to Wales. After painstaking inquiries were made, it became clear that the Treasury had no intention of passing this money to Wales—",(PC),male,57
Lord Cavendish of Furness,I am grateful to the noble Lord for giving way. Does he accept that those of us who live in Cumbria have watched with huge envy the largesse that has been directed at Wales?,(Con),male,58
Lord Wigley,"I have no doubt that Cumbria has its problems, and I have no doubt that people from Cumbria will speak up on its behalf. I support entirely that Cumbrian needs should be answered on a needs basis; we are arguing for exactly that for Wales. The current Barnett formula, as this House has recognised, does not provide that needs-based system for funding. So I accept entirely what the noble Lord says.The point that I was making was that, back in 2000, the Treasury claimed that it already funded ambitious regional economic projects and that the European cash would be gratefully received as a contribution towards such spending. I sought clarification from officials at 10 Downing Street, but no clarification or assurance was forthcoming. In March 2000, I went to Brussels and met the EU regional commissioner, no less than a certain Monsieur Michel Barnier. He just could not believe what I was saying, since the EU funding was provided on the basis of additionality. He asked his officials—yes, those much-derided Brussels Eurocrats—whether what I said could possibly be true. They confirmed my account, and Mr Barnier asked me to give him a couple of months without making political capital on the issue, in which time he would do his best to sort it out.The eventual outcome to this incredible episode was, as I may have previously mentioned, that as part of his spending review in July 2000 the then Chancellor Gordon Brown announced that the UK Government would be making a payment of £442 million to the Assembly to settle the account. Thereafter, Wales received the money from Brussels, which it had a right to expect.So please do not tell me the nonsense about Wales being able to trust the Treasury in London more than it can trust Brussels. Such a claim flies in the face of our bitter experience. Unless we have safeguards built into law, there is no reason for us to believe that we can trust the UK Treasury or its Ministers with our future financial well-being. That is why I have proposed amendments to the Bill. If Wales, in the wake of Brexit, is to be thrown back at the mercy of Whitehall, God help us. I beg to move.",(PC),male,59
Baroness Humphreys,"My Lords, I am grateful for the opportunity to speak in support of Amendment 358A in the name of the noble Lord, Lord Wigley, and I thank him for tabling it.Since 2000, the area of west Wales and the valleys has been in receipt of funding from the European Union. Everywhere one looks in west Wales and the valleys, one finds examples of the benefits arising from this—from the newly transformed Ponty lido to the upgraded railway stations in Aberystwyth, Carmarthen, Llandudno and Port Talbot, where we see the effects of a £21 million cash injection of EU funds. From the National Waterfront Museum on Swansea marina to the regeneration of south Wales valley towns, we see the benefit of millions of pounds from Europe.We see schemes creating employment, breathing life into communities and improving the quality of people’s lives. In my own area, I have seen EU funding being used to build a new rural development centre, to convert an old mill to a teaching centre and an old school into a community centre and, perhaps, the project that is closest to my heart, for the upgrading of Nant Gwrtheyrn, the Welsh language and heritage centre on the Llyn peninsula. We have also seen major road improvements. The stretch of the A465 from Brynmawr to Tredegar, for example, saw £82 million of EU funding being poured in to help with its construction, helping to improve both safety and connectivity.These are just a very few examples of the impact of EU funding on west Wales and the valleys. All this has been achieved with the aid of the main funding streams. It may be useful to remind ourselves of the aim of three of the streams and inquire of the Government how they intend to replicate them. The European structural funds have been used to support people into work and training; have supported youth employment, research and innovation projects and business competitiveness in the SME sector; and have overseen renewable energy and energy efficiency schemes. These funds are worth £2 billion from 2014 to 2020. What will replace them in two years’ time?The common agricultural policy, as the noble Lord has already referred to, is, as those of us who live in Wales know, an essential £200 million-a-year scheme, providing payments to more than 16,000 farms in Wales to help to protect and enhance the countryside. What assurances can the Minister give about how these funds will be allocated in future, and on what basis?The third scheme that I want to talk about is the Welsh Government Rural Communities—Rural Development Programme 2014-2020. It is a £957 million programme supporting businesses, farmers, the countryside and communities in rural areas and has been essential to areas such as the Conwy Valley, where I live. Could the Minister outline how the Government intend to support rural communities in Wales after 2020?All this is in stark contrast to the dire lack of funding that came to Wales from the UK Government prior to 2000, which led to west Wales and the valleys being designated as one of the poorest areas in the EU and therefore eligible for objective 1 funding. I am sure that noble Lords will understand my scepticism about future funding commitments if, or when, we leave the EU.The UK Government’s record on funding to Wales hardly fills one with confidence. It has been proved beyond doubt that the Barnett formula, by which Wales has received its funding for the NHS, education and so on, has been disadvantageous to Wales, yet no Government of any colour have been prepared to address the issues and reform the formula itself to ensure fair funding on a permanent basis. My noble friend Lord Thomas of Gresford and the noble Lord, Lord Wigley, have already spoken about this. In earlier debates on the Bill my noble friend Lord Thomas drew the House’s attention to the disparity in funding under the Barnett formula and voiced his fears that future funding to Wales will perpetuate the situation. As he has so clearly pointed out, the weakness of the Barnett formula in relation to Wales is that it is based on a crude population count, whereas EU funding has always been based on need.It is certainly time for Ministers to be crystal clear about the amount of funding that will come to Wales—remembering, of course, that we were promised “not a penny less” during the referendum campaign. We need to know the basis on which the funding will be determined and the methods which will be used to distribute it.",(LD),female,60
Lord Roberts of Llandudno,"My Lords, I usually sleep quite well, but last night I had a sleepless night. It was because I received a Written Answer yesterday from Defra about exactly how much farming support came from Europe. It stated:“Across the UK £3.95 billion is provided a year under the Common Agricultural Policy. Of this, around 93% is funded from the EU, with around 7% being national funding under rural development programmes”. So 93% is from Europe. If Brexit goes through, it could well devastate the Welsh agricultural industry. It is a catastrophic move for Welsh agriculture. We know that it already struggles. We have had years of blight in Welsh agriculture, but now we have a scheme going through that we do not have to approve: this House can stop it and, by so doing, stop that death blow to Welsh agriculture.",(LD),male,61
Lord Liddle,"My Lords, I add an English voice in support of the amendment—a northern English voice and a Cumbrian voice. In deference to the noble Lord, Lord Cavendish, for whom I have great regard because of the work he does in Cumbria, I think that European funds have made an enormous difference to our prospects in the north. In our debates on the Bill, we have heard a lot of the voices of Wales and Scotland about how they should be treated in the light of Brexit, but we have heard very little about how the north of England should be treated. This reflects the fact that federalism in this country has not advanced far enough. We do not have a proper devolved system of government. It is an object lesson in how the interests of large parts of England are completely forgotten in a lot of our deliberations.The noble Lord, Lord Wigley, is absolutely right that the £350 million a week claim on the bus played an enormous part in the leave victory. I remember giving out leaflets on the streets of the ward I represent on the county council in Wigton in Cumbria. People came up to me and said “Roger, you know, we’re not going to vote for you on this because we’re just wasting all that money”. I tried to explain to people that the £350 million that they were talking about was a gross figure of UK contributions to the EU, from which we got back substantial amounts of money which went to Cumbria in a big way.Let me cite some examples. There is not just the agricultural support, which I know is a great concern of the noble Lord, Lord Cavendish. We would not have broadband in Cumbria if we had not had special EU support for it. We would not have had the regeneration schemes for the ports of Maryport, Whitehaven and Barrow if we had not had EU structural funds. We have had huge support for regeneration.One other interest that I should declare is that I chair Lancaster University, just outside my native county, which is presently building a health innovation campus that would not happen without EU structural funds—and this for an excellent university, which is top of the league in the Sunday Times this year, if I can plug it in the Lords Chamber. It is a vital investment for the university’s future.The truth is that, if the £350 million claim that the leavers made was to be met, all that spending would have to be scrapped—all the spending on agriculture and the regions and all the spending on culture, science and innovation would go, because that was the gross contribution. Clearly, therefore, there is great embarrassment on the Benches opposite as to their present intentions, because they cannot tell the Foreign Secretary that he was lying throughout the campaign. But the truth is that that was what he was doing. He was lying about the £350 million. The fact is that, if these programmes, the agriculture support and structural fund money is to continue, there is no £350 million. There might be a lesser sum from the net contribution, but when you are thinking about the net contribution, you have to think about the impact of Brexit on our economic growth and therefore on tax revenues. It is already the case that, whereas we were growing before the referendum at the top of the G7 league, we are now growing at the bottom of it, and the Chancellor’s own forecasts for the next five years suggest that we will continue to be in that position and will suffer a considerable loss of potential growth and tax revenue.This is a very serious issue. I would like clear answers from the Government as to what promises beyond 2020 they are prepared to make on agriculture and structural funds. That matters greatly to the future of the regions of this nation.",(Lab),male,62
Lord Adonis,"I endorse everything that my noble friend Lord Liddle has said. Always when the House debates a Bill at length, certain themes appear, and the themes and patterns can often be of some significance. One of the most significant themes that has appeared in your Lordships’ consideration of this Bill is how weak the voice of England has been in our debates compared with the voice of Scotland, Wales and Northern Ireland.There has been only one substantive debate about the interests of England after EU withdrawal and how it is handled, which was the debate initiated by the noble Lord, Lord Shipley—significantly, a former leader of Newcastle City Council—on 19 March. It was a very significant debate in the form that it took. What came through very clearly in the debate was that the noble Lord, Lord Shipley, and other leaders of local authorities in England, including the noble Lord, Lord Porter, who sits on the Conservative Benches and is the leader of the Local Government Association, had far more confidence in the EU’s processes of consultation through the Committee of the Regions than they did in any institutional arrangements for consultation between Her Majesty’s Government and local authorities in England.I am delighted to see the noble Lord, Lord Bourne, in his place—I think that he may be responding to this debate. In his characteristic way, he made a very constructive response to the debate, saying that the Government were considering consultation arrangements post-EU withdrawal with local authorities in England. I took it to be a very significant statement when he said that that might involve new consultative machinery, including possibly a new consultative body between the Government and local authorities in England. I have to say that the fact that it takes EU withdrawal for Her Majesty’s Government to produce proposals for formal institutional consultation between the leaders of local authorities in England and the Government is a pretty damning commentary on the state of our constitutional arrangements in this country. One of the themes that comes through very strongly from Brexit is that English local government and the regions and cities of England are essentially government from London in a colonial fashion, in much the same way as Scotland and Wales were before devolution. One of the very big issues raised by Brexit is that whatever happens over the next year, whether or not we leave—and I hope we do not—Parliament is going to have to address with great seriousness in the coming years the government of England as a nation but also the relationship between this colonial-style government that we have in Westminster and Whitehall and local government across England as a whole.The one telling exception to this pattern is London, because London has a directly elected mayor and the Greater London Authority. As a former Minister, I know that the whole way that London is treated is radically different from the way that the rest of England is treated because it has a mayor and the GLA. When the Mayor of London phones Ministers, sitting there with 1 million votes—somewhat more than my noble friend has as the county councillor for Wigton; I know he has done very well but he does not sit there with quite so many votes—I assure noble Lords that Ministers take the Mayor of London’s call.I remember vividly that when I was Secretary of State for Transport I met the then Mayor of London, who is now the Foreign Secretary, and he did not know who the leader of Birmingham City Council was. It only happens to be the second largest city in England. That is a very telling commentary on the state of the government of England. How England is going to be treated is massive unfinished business in our constitutional arrangements, and Brexit has exposed a whole set of issues relating to the government of England that will now have to be addressed.",(Lab),male,63
Lord Cavendish of Furness,"The noble Lord is making an important point about devolution, with most of which I agree. Does he accept that this Government have really gone out of their way to try to devolve power and that in many cases, as I think he would accept, it is the people on the ground who have refused and rejected it?",(Con),male,64
Lord Adonis,"My Lords, I am not seeking to make party-political points in this debate; this issue is going to embrace us on all sides of the House. I note, though, that at the moment we still do not have proper arrangements in place for what is going to happen over the mayoralties in the great county of Yorkshire, which is a hugely important set of issues. There is massive disagreement taking place between different cities in Yorkshire and the Government about how this should be handled. At the moment we still do not have strong powers for any of the mayors outside London. The treatment of the counties of England that are not going to be embraced by the new city mayors is very problematic in the current arrangements, partly because it is genuinely problematic. We have never been able to resolve the issue about how you devolve to local government in England outside the major cities.This is going to be a big ongoing source of debate, and rightly so. As these debates have demonstrated, we have done much better by Scotland and Wales in recent years, not least because they now have their own devolved Parliament and Assembly. We have done our very best to ensure consensual power-sharing government in Northern Ireland although, to our great regret, the Assembly is not sitting at the moment. Before long we are going to have to start giving equal attention to the government of England.",(Lab),male,65
Lord Foulkes of Cumnock,"I hope my noble friend Lord Adonis will forgive another Scottish voice, but I completely agree with every word that he has just said. Is not one of the ironies that our asymmetric devolution, which is the problem, is something that we could be tackling now with legislation in this Parliament if we were not preoccupied with this futile Bill and the other eight Bills that are going to follow it, which are totally unnecessary? We would have the time to deal with it.",(Lab),male,66
Lord Adonis,"I entirely agree with my noble friend; he is completely right. However, it is rather a sad commentary on our politics at the moment that we in this House need to be frank and accept that, but for Brexit, a lot of these issues would not have been flushed out. I do not think that, but for Brexit and the Brexit referendum, we would be addressing them.At the moment, I am spending a lot of time travelling around the country, particularly places which voted to leave. Most of these places are remote from London. There is an almost direct relationship between the distance from London, particularly the time it takes by train to get to places, and their likelihood of having voted to leave the European Union. What comes through so powerfully from the people I am meeting there is a massive sense of isolation and alienation not just from Brussels, although that is an issue, but from London and our Government and Parliament here. That is not a stable state of affairs for the future of government and democracy in this country, and it will have to be addressed.",(Lab),male,67
